Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
24.30213181,-0.2348354161,-1.4592309,-1.632202029
24.31220261,-0.2044748962,-1.296176195,-1.828062415
24.32227341,-0.1835329682,-1.108477712,-2.046424389
24.33237473,-0.1756948084,-0.8961886764,-2.275703192
24.34244553,-0.1659068465,-0.6995124221,-2.464460611
24.35248581,-0.1627703309,-0.4907355905,-2.635929108
24.36255661,-0.1646229476,-0.2769528627,-2.792844534
24.37262741,-0.1871552169,-0.03824005648,-2.935737133
24.38272873,-0.2328992635,0.2160122395,-3.06712079
24.39279953,-0.2901486754,0.468431443,-3.1856215
24.40283982,-0.3428781331,0.6912438869,-3.288820982
24.41291062,-0.39512977,0.8880190253,-3.3716712
24.42298142,-0.4737038016,1.083757162,-3.389234066
24.43305222,-0.5829361677,1.279164791,-3.345564842
24.44312302,-0.7158764601,1.479109406,-3.290130615
24.45319382,-0.8430057168,1.654077291,-3.249816656
24.46326462,-0.9362103939,1.767076492,-3.190732479
24.47333542,-1.006921887,1.818298697,-3.09918642
24.48340622,-1.08652544,1.841571093,-2.990263462
24.49347702,-1.175132871,1.843991637,-2.856407404
24.50354782,-1.237424016,1.839186072,-2.694469452
24.51361863,-1.281549454,1.82537961,-2.499439716
24.52371994,-1.304549932,1.78815186,-2.278298378
24.53379074,-1.327424645,1.736161947,-2.034742117
24.54383103,-1.325847268,1.649756312,-1.666995525
24.55387131,-1.317481279,1.523968458,-1.211841702
24.56391159,-1.314547777,1.368843198,-0.6925393343
24.57398239,-1.317319036,1.227095962,-0.2107292116
24.58408371,-1.325099349,1.106825352,0.2533259392
24.594124,-1.312393904,0.9646718502,0.8174961805
24.60422531,-1.286786437,0.834444344,1.357795238
24.6142656,-1.246608973,0.7103698254,1.876793385
24.6243364,-1.1915344,0.5827195048,2.38890028
24.63443772,-1.129538417,0.4478485584,2.875877619
24.64450852,-1.074982166,0.3191181719,3.321553946
24.65457932,-1.019171357,0.1907218099,3.712470055
24.66465012,-0.9647327662,0.06606671214,4.040238857
24.67472092,-0.9128226638,-0.0286013782,4.299551487
24.68479172,-0.8541376591,-0.1018648595,4.486244678
24.694832,-0.7967188358,-0.136159122,4.599673271
24.70493332,-0.7278958559,-0.146191597,4.635515213
24.7149736,-0.6535488367,-0.1052702814,4.601217747
24.72507492,-0.5788404346,-0.01789676026,4.466506004
24.73511521,-0.511934042,0.09669208527,4.232014656
24.74521652,-0.4372056723,0.1881780624,3.991171837
24.75525681,-0.3539767861,0.2777737379,3.727157354
24.76538864,-0.2787734568,0.3787740171,3.435954809
24.77545945,-0.2235907018,0.4599174857,3.124882936
24.78553025,-0.162259087,0.5314154625,2.813838005
24.79560105,-0.07450723648,0.5873125196,2.51786232
24.80567185,0.0545739159,0.6739041805,2.204502583
24.81574265,0.0545739159,0.6739041805,2.204502583
24.82581345,0.3899727166,1.014314294,1.442268014
24.83588425,0.4998555183,1.211751223,1.038510323
24.84595505,0.5530870557,1.377581835,0.6751489639
24.85599533,0.5871645808,1.529539108,0.3187061846
24.86609665,0.6090456843,1.667374015,-0.03635341674
24.87616745,0.6099664569,1.759771228,-0.3283608556
24.88623825,0.5931382179,1.795761585,-0.5357035995
24.89633957,0.5668529272,1.812628031,-0.7371602654
24.90637986,0.5488378406,1.812492013,-0.9141038656
24.91645066,0.5211883187,1.773960233,-1.050261617
24.92652146,0.4821074903,1.706000209,-1.148107529
24.93659226,0.4509391785,1.609221101,-1.208008051
24.94666306,0.4251580536,1.510565162,-1.241145372
24.95673386,0.4034621418,1.399203181,-1.249723554
24.96680466,0.3848495781,1.275894642,-1.229108214
24.97687546,0.3747842908,1.124820471,-1.175395608
24.98694626,0.3736024499,0.9442117214,-1.086442351
24.99701706,0.3748539388,0.7496538758,-0.9737797976
25.00708786,0.3707523346,0.5671570897,-0.8650419712
25.01715866,0.3576554954,0.4170387983,-0.7741733789
