"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.677172657E0,-2.455745220E0,-8.649577498E-1,2.666072547E-1
3.687243458E0,-2.299497366E0,-8.501719236E-1,2.621148825E-1
3.697314259E0,-2.149760723E0,-8.206134439E-1,2.498188466E-1
3.707385059E0,-2.023778200E0,-7.896052003E-1,2.480126470E-1
3.717455860E0,-1.883653760E0,-7.552384138E-1,2.568918169E-1
3.727526661E0,-1.752439022E0,-7.218925357E-1,2.760074437E-1
3.737597462E0,-1.597930789E0,-6.813814640E-1,3.146320879E-1
3.747668262E0,-1.393074155E0,-6.324217319E-1,3.784444928E-1
3.757739063E0,-1.155279398E0,-5.764140487E-1,4.545826912E-1
3.767809864E0,-9.175458550E-1,-5.161965489E-1,5.379166007E-1
3.777880665E0,-6.839197278E-1,-4.669017494E-1,6.059124470E-1
3.787951466E0,-4.637483358E-1,-4.047580659E-1,6.595519781E-1
3.798022266E0,-2.641494572E-1,-3.440575898E-1,7.139715552E-1
3.808093067E0,-5.873171985E-2,-2.865028083E-1,7.412751317E-1
3.818163868E0,1.412113458E-1,-2.346284389E-1,7.529618740E-1
3.828265186E0,3.097639680E-1,-1.984784901E-1,7.450563312E-1
3.838335987E0,4.220651388E-1,-1.722919047E-1,7.205664515E-1
3.848406788E0,4.834182262E-1,-1.558957845E-1,6.985756159E-1
3.858447071E0,5.371882319E-1,-1.487813443E-1,6.822770238E-1
3.868517872E0,5.421609879E-1,-1.435082853E-1,6.764526963E-1
3.878558155E0,5.216121674E-1,-1.418098956E-1,6.756929159E-1
3.888659473E0,4.899133146E-1,-1.451418251E-1,6.724190116E-1
3.898669239E0,4.470807910E-1,-1.562923193E-1,6.706027389E-1
3.908801075E0,3.739075959E-1,-1.716501415E-1,6.721638441E-1
3.918871876E0,3.008455634E-1,-1.854117960E-1,6.614489555E-1
3.928973194E0,2.307580262E-1,-1.967501789E-1,6.450135112E-1
3.939013477E0,1.713419110E-1,-1.953793168E-1,6.340271235E-1
3.949084278E0,1.051790267E-1,-1.975174844E-1,5.725940466E-1
3.959155079E0,2.526672371E-2,-2.136401087E-1,5.519276261E-1
3.969256397E0,-1.182552725E-1,-2.503711581E-1,4.719949961E-1
3.979296680E0,-2.682644725E-1,-3.318704367E-1,3.868110180E-1
3.989367481E0,-2.832571268E-1,-3.150469959E-1,2.398820072E-1
3.999438282E0,-2.903208733E-1,-2.883624732E-1,1.361639351E-1
4.009539600E0,-2.852772474E-1,-2.497933954E-1,9.370111674E-2
4.019579884E0,-2.767971456E-1,-2.810219228E-1,1.078120023E-1
4.029650684E0,-2.631348372E-1,-3.421979249E-1,1.249767840E-1
4.039935108E0,-2.374649048E-1,-4.118866324E-1,1.703366190E-1
4.059863087E0,-3.005510867E-1,-5.912764072E-1,2.318543792E-1
4.069933887E0,-3.734956384E-1,-7.197285891E-1,2.417381853E-1
4.080004688E0,-5.103484392E-1,-8.573911190E-1,2.536729574E-1
4.090075489E0,-6.776924729E-1,-9.798420668E-1,2.733996212E-1
4.100146290E0,-8.263435364E-1,-1.094036222E0,2.872366607E-1
4.110217091E0,-9.285117388E-1,-1.214712381E0,3.932557702E-1
4.120287891E0,-9.874878526E-1,-1.329356432E0,4.248557091E-1
